,ngram,False,True,n,False_q,True_q,fpr,fpr_sig
1423,IPR002369,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.61,False
1424,IPR002369|IPR040622,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.52,False
1425,IPR002369|IPR040622|IPR000742,0.7468702812489645,1.0,2.0,1.0,1.0,0.48,False
1426,IPR002369|IPR040622|IPR057073,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.18,False
1427,IPR002376,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.6,False
1428,IPR002376|IPR005793,0.7468702812489645,1.0,2.0,1.0,1.0,0.8,False
1429,IPR002376|IPR005793|IPR009081,0.7468702812489645,1.0,2.0,1.0,1.0,0.7,False
1430,IPR002379,0.908414135386015,0.4422077928135309,4.0,1.0,0.6539460977296835,0.61,False
1431,IPR002404,0.7560615614775611,0.6400188695026718,7.0,1.0,0.866381320073436,0.88,False
1432,IPR002420,0.9849494161178143,0.08260412076251746,8.0,1.0,0.2843895207094114,0.09,False
1433,IPR002420|IPR001263,0.9427284555676069,0.24393843852243893,7.0,1.0,0.46495601023341643,0.3,False
1434,IPR002420|IPR001263|IPR000403,0.8093949597890027,0.5834359507912101,6.0,1.0,0.8017589249303677,0.44,False
1435,IPR002466,0.9798089903994711,0.1391824346229558,5.0,1.0,0.39276659732212593,0.11,False
1436,IPR002469,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.24,False
1437,IPR002469|IPR001375,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.18,False
1438,IPR002474,0.949715465274182,0.35455231076364435,3.0,1.0,0.5610939631594948,0.3,False
1439,IPR002474|IPR017926,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.15,False
1440,IPR002474|IPR017926|IPR005483,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.13,False
1441,IPR002477,0.9427284555676069,0.24393843852243893,7.0,1.0,0.46495601023341643,0.73,False
1442,IPR002477|IPR001818,0.48203586763882567,1.0,5.0,1.0,1.0,1.0,False
1443,IPR002477|IPR001818|IPR000585,0.48203586763882567,1.0,5.0,1.0,1.0,0.97,False
1444,IPR002498,0.41656404920878987,1.0,6.0,1.0,1.0,0.95,False
1445,IPR002501,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.14,False
1446,IPR002502,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.21,False
1447,IPR002539,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.1,False
1448,IPR002539|IPR003033,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.03,True
1449,IPR002547,0.6454476892363556,1.0,3.0,1.0,1.0,0.8,False
1450,IPR002550,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.24,False
1451,IPR002553,0.9996383931419804,0.0035957572903632324,9.0,1.0,0.04915152888705508,0.05,True
1452,IPR002553|IPR008152,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.19,False
1453,IPR002553|IPR010474,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.05,True
1454,IPR002553|IPR010474|IPR058898,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.02,True
1455,IPR002558,0.6491641453071706,0.7311796200243008,9.0,1.0,0.9802815507694764,0.62,False
1456,IPR002562,0.9996609677908262,0.00898320483765095,4.0,1.0,0.08692175916880611,0.01,True
1457,IPR002562|IPR002782,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.01,True
1458,IPR002569,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.06,False
1459,IPR002579,0.7468702812489645,1.0,2.0,1.0,1.0,0.8,False
1460,IPR002589,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.82,False
1461,IPR002625,0.7468702812489645,1.0,2.0,1.0,1.0,0.55,False
1462,IPR002641,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.66,False
1463,IPR002645,0.9639036450206185,0.1442429315316284,10.0,1.0,0.4002702616669839,0.22,False
1464,IPR002652,0.9427284555676069,0.24393843852243893,7.0,1.0,0.46495601023341643,0.45,False
1465,IPR002652|IPR047857,0.6454476892363556,1.0,3.0,1.0,1.0,0.24,False
1466,IPR002653,0.9910167951623491,0.09158586461398503,4.0,1.0,0.2843895207094114,0.1,False
1467,IPR002655,0.6454476892363556,1.0,3.0,1.0,1.0,0.91,False
1468,IPR002668,0.7468702812489645,1.0,2.0,1.0,1.0,0.91,False
1469,IPR002668|IPR011642,0.7468702812489645,1.0,2.0,1.0,1.0,0.86,False
1470,IPR002668|IPR011642|IPR011657,0.7468702812489645,1.0,2.0,1.0,1.0,0.7,False
1471,IPR002710,0.9427284555676069,0.24393843852243893,7.0,1.0,0.46495601023341643,0.24,False
1472,IPR002713,0.8093949597890027,0.5834359507912101,6.0,1.0,0.8017589249303677,0.84,False
1473,IPR002713|IPR002713,0.8093949597890027,0.5834359507912101,6.0,1.0,0.8017589249303677,0.78,False
1474,IPR002713|IPR002713|IPR002713,0.8093949597890027,0.5834359507912101,6.0,1.0,0.8017589249303677,0.73,False
1475,IPR002713|IPR002713|IPR039007,0.5577922071864692,1.0,4.0,1.0,1.0,0.85,False
1476,IPR002713|IPR039007,0.5577922071864692,1.0,4.0,1.0,1.0,0.85,False
1477,IPR002713|IPR039007|IPR039006,0.5577922071864692,1.0,4.0,1.0,1.0,0.85,False
1478,IPR002715,0.7468702812489645,1.0,2.0,1.0,1.0,0.99,False
1479,IPR002716,0.9427284555676069,0.24393843852243893,7.0,1.0,0.46495601023341643,0.36,False
